Source,Target,Type,Weight
174616480,318956995,Undirected,1
174616480,360324726,Undirected,1
174616480,14536692,Undirected,1
174616480,40150987,Undirected,1
174616480,70707594,Undirected,1
174616480,139234179,Undirected,1
170321354,83615933,Undirected,3
170321354,112965850,Undirected,3
170321354,102240858,Undirected,3
170321354,71864965,Undirected,3
170321354,245920071,Undirected,3
170321354,174616480,Undirected,3
170321354,119510979,Undirected,1
170321354,54111762,Undirected,1
170321354,100510866,Undirected,1
170321354,219261695,Undirected,1
170321354,407906425,Undirected,1
170321354,176482298,Undirected,1
170321354,168928433,Undirected,5
170321354,167911929,Undirected,1
170321354,131722020,Undirected,1
170321354,58967503,Undirected,1
170321354,297067373,Undirected,1
170321354,107586698,Undirected,1
170321354,343195091,Undirected,1
170321354,114458866,Undirected,1
170321354,299669718,Undirected,1
170321354,318148199,Undirected,1
170321354,1187659,Undirected,1
170321354,10279897,Undirected,1
170321354,405151013,Undirected,1
170321354,157873575,Undirected,1
170321354,4741050,Undirected,1
170321354,193640090,Undirected,1
170321354,134864863,Undirected,1
170321354,198934659,Undirected,1
170321354,363195110,Undirected,1
170321354,136481937,Undirected,1
170321354,301611761,Undirected,1
170321354,194200548,Undirected,1
170321354,392349687,Undirected,1
170321354,230191966,Undirected,1
170321354,255718157,Undirected,1
170321354,115699172,Undirected,1
170321354,162130882,Undirected,1
170321354,122248113,Undirected,1
170321354,131065130,Undirected,1
170321354,131804058,Undirected,1
170321354,204992655,Undirected,1
170321354,284773106,Undirected,1
170321354,206527410,Undirected,1
170321354,341927426,Undirected,1
170321354,181670387,Undirected,1
170321354,320774740,Undirected,1
170321354,253599405,Undirected,1
170321354,300710356,Undirected,1
170321354,274897816,Undirected,1
170321354,401511750,Undirected,1
170321354,112359351,Undirected,1
170321354,102520768,Undirected,1
170321354,38029619,Undirected,1
170321354,369802011,Undirected,1
170321354,191994837,Undirected,1
102240858,83615933,Undirected,3
102240858,112965850,Undirected,3
102240858,102240858,Undirected,1
102240858,71864965,Undirected,3
102240858,245920071,Undirected,3
102240858,174616480,Undirected,4
102240858,170321354,Undirected,3
102240858,128358244,Undirected,1
102240858,371068597,Undirected,1
102240858,27700822,Undirected,1
102240858,150249606,Undirected,1
297625057,179381057,Undirected,41
297625057,132415110,Undirected,41
297625057,83615933,Undirected,41
297625057,71006164,Undirected,41
297625057,87022132,Undirected,1
297625057,92580150,Undirected,1
297625057,78496127,Undirected,1
297625057,130921373,Undirected,1
297625057,88721968,Undirected,1
297625057,183290391,Undirected,1
297625057,121378112,Undirected,1
297625057,95198472,Undirected,1
297625057,66227153,Undirected,1
297625057,140544647,Undirected,1
297625057,135058606,Undirected,1
297625057,101470274,Undirected,1
297625057,381207621,Undirected,1
297625057,140846719,Undirected,1
297625057,413361961,Undirected,2
297625057,152205552,Undirected,1
297625057,108335015,Undirected,1
297625057,237502482,Undirected,1
297625057,127374375,Undirected,1
297625057,93653920,Undirected,1
297625057,161962185,Undirected,1
297625057,117614563,Undirected,1
297625057,89288223,Undirected,1
297625057,101194393,Undirected,1
297625057,344675369,Undirected,1
297625057,98907066,Undirected,1
297625057,148954681,Undirected,1
297625057,207497735,Undirected,1
297625057,100703785,Undirected,1
297625057,276083318,Undirected,1
297625057,176008918,Undirected,1
297625057,126295784,Undirected,1
297625057,121255796,Undirected,1
297625057,461933440,Undirected,1
297625057,276606334,Undirected,1
297625057,186630311,Undirected,1
297625057,300730973,Undirected,1
297625057,52835099,Undirected,1
297625057,104567044,Undirected,4
297625057,89099242,Undirected,1
297625057,227753609,Undirected,1
297625057,56462016,Undirected,1
297625057,315512031,Undirected,1
297625057,325649374,Undirected,1
297625057,101728487,Undirected,1
297625057,99535562,Undirected,1
297625057,134263583,Undirected,1
297625057,189860319,Undirected,1
297625057,312919489,Undirected,1
297625057,387294951,Undirected,1
297625057,458303620,Undirected,1
297625057,200382952,Undirected,1
297625057,202656417,Undirected,2
297625057,245860260,Undirected,1
297625057,208175841,Undirected,1
297625057,99782285,Undirected,1
297625057,84310350,Undirected,1
297625057,53576227,Undirected,1
297625057,362355691,Undirected,1
297625057,461084598,Undirected,1
297625057,115162951,Undirected,1
297625057,120052436,Undirected,1
297625057,237017177,Undirected,1
297625057,341025169,Undirected,1
71006164,179381057,Undirected,41
71006164,297625057,Undirected,41
71006164,132415110,Undirected,41
71006164,83615933,Undirected,41
71006164,410137728,Undirected,1
71006164,421660510,Undirected,1
71006164,150326229,Undirected,1
71006164,147849940,Undirected,1
71006164,373949877,Undirected,1
179381057,179381057,Undirected,1
179381057,297625057,Undirected,41
179381057,132415110,Undirected,41
179381057,83615933,Undirected,41
179381057,71006164,Undirected,41
179381057,170828593,Undirected,1
179381057,237999382,Undirected,1
179381057,181631299,Undirected,1
179381057,272548652,Undirected,1
179381057,253569979,Undirected,1
179381057,229116835,Undirected,1
179381057,150715870,Undirected,1
179381057,153813614,Undirected,1
179381057,322734119,Undirected,1
179381057,39483958,Undirected,1
179381057,133378295,Undirected,1
179381057,65445022,Undirected,1
179381057,136065459,Undirected,1
179381057,190530672,Undirected,1
179381057,253297264,Undirected,1
179381057,223926717,Undirected,1
179381057,153400288,Undirected,4
179381057,11026776,Undirected,1
179381057,17171104,Undirected,1
179381057,302996,Undirected,1
179381057,108065781,Undirected,1
179381057,22418459,Undirected,1
179381057,175755766,Undirected,1
179381057,152675751,Undirected,1
179381057,293442626,Undirected,1
179381057,416488131,Undirected,1
179381057,86819989,Undirected,1
179381057,138951493,Undirected,1
179381057,113809464,Undirected,1
179381057,3902489,Undirected,1
179381057,86781926,Undirected,1
179381057,219929994,Undirected,1
179381057,183227947,Undirected,1
179381057,126251498,Undirected,1
179381057,133666698,Undirected,1
179381057,79081082,Undirected,1
179381057,173421635,Undirected,1
179381057,320786801,Undirected,1
179381057,277383086,Undirected,1
179381057,110443103,Undirected,1
179381057,27634000,Undirected,1
179381057,156067448,Undirected,1
179381057,311529363,Undirected,1
179381057,305730037,Undirected,1
179381057,146173553,Undirected,1
179381057,104713253,Undirected,1
179381057,133684882,Undirected,1
179381057,17347141,Undirected,1
179381057,38719573,Undirected,1
179381057,174785221,Undirected,1
179381057,86857634,Undirected,1
179381057,20375071,Undirected,1
179381057,361237369,Undirected,1
179381057,402808113,Undirected,1
179381057,123463462,Undirected,1
179381057,383880187,Undirected,1
179381057,193365241,Undirected,1
179381057,389564585,Undirected,1
179381057,433504753,Undirected,1
132415110,179381057,Undirected,41
132415110,297625057,Undirected,41
132415110,132415110,Undirected,1
132415110,83615933,Undirected,41
132415110,71006164,Undirected,41
44967732,138707765,Undirected,41
44967732,83615933,Undirected,42
44967732,344839250,Undirected,41
44967732,102309164,Undirected,42
44967732,394415595,Undirected,41
44967732,10669028,Undirected,1
44967732,191053546,Undirected,1
44967732,313415321,Undirected,1
44967732,102835327,Undirected,1
44967732,187874380,Undirected,2
44967732,189496189,Undirected,1
44967732,152337166,Undirected,1
44967732,259929309,Undirected,1
44967732,27700822,Undirected,2
44967732,129953113,Undirected,1
44967732,75176900,Undirected,1
44967732,145257940,Undirected,1
44967732,105939479,Undirected,1
44967732,102258581,Undirected,1
44967732,114232397,Undirected,1
44967732,66878399,Undirected,1
44967732,147060203,Undirected,1
44967732,115997992,Undirected,2
44967732,208015239,Undirected,1
44967732,195380178,Undirected,1
44967732,112749729,Undirected,1
44967732,103523544,Undirected,1
44967732,74712163,Undirected,1
44967732,29757702,Undirected,1
44967732,414449617,Undirected,1
44967732,352843509,Undirected,1
44967732,29185842,Undirected,1
44967732,66193425,Undirected,1
44967732,133257799,Undirected,1
44967732,150756431,Undirected,1
44967732,153594431,Undirected,1
44967732,164502601,Undirected,1
44967732,4099663,Undirected,1
44967732,45234508,Undirected,2
44967732,324964935,Undirected,1
44967732,203457789,Undirected,1
44967732,47789116,Undirected,1
44967732,119194842,Undirected,1
44967732,335357600,Undirected,1
44967732,76008392,Undirected,1
44967732,102512608,Undirected,1
44967732,86717693,Undirected,1
44967732,359979372,Undirected,1
44967732,380608742,Undirected,1
44967732,184333776,Undirected,1
44967732,72862979,Undirected,1
44967732,3107248,Undirected,1
44967732,132976431,Undirected,1
44967732,150870424,Undirected,1
44967732,68945288,Undirected,1
44967732,149340996,Undirected,1
44967732,311458927,Undirected,1
44967732,423384332,Undirected,1
44967732,159325444,Undirected,1
44967732,172418199,Undirected,1
44967732,16818654,Undirected,1
44967732,251167608,Undirected,1
