Id,mmr
117945957,2929
400532022,3281
147142245,3021
176945443,3146
144410807,3260
86766995,3551
161181213,2985
39862280,0
172905082,0
91233130,3071
225256165,3444
75425874,3424
120254701,2992
106431663,2372
54444679,3528
123482621,3824
130544055,4076
105183929,3255
140711072,3387
211591695,3390
105515628,3416
60474104,3894
144228555,3219
317439429,3218
336085145,2451
353606306,3332
182156304,0
371755923,0
85703402,3351
312039529,0
181445063,0
246529068,0
127614428,0
299961209,0
5334862,4249
101425334,4165
125210650,4353
124066074,0
100425459,0
125287847,2987
113418359,3126
144956843,3005
67275130,3244
67346443,3981
103388338,4598
344691302,3352
24079184,3533
468418103,0
32513659,3427
14747877,3682
44795641,0
6664877,0
181157,0
93342671,0
115402546,4000
107659572,3387
40155008,3684
95534660,3479
37243257,3846
39291953,0
112840312,0
12089039,3314
130761526,3390
89702688,3400
51197996,3349
37045181,3300
40871104,3954
111536503,0
316873936,0
71782479,0
131018707,3755
80328240,0
142494119,0
123553916,3219
96844584,3359
22965073,3651
36923142,0
67663061,3665
149158773,3709
430228641,4014
373912336,3603
123129704,3689
148824741,0
114889571,0
55471349,3453
92346665,3384
42255525,3516
121913917,3334
423531729,3388
169680948,3263
7862052,3306
82028943,2433
144126263,3358
113886952,3521
206418538,2731
243445085,3489
138669911,3359
256459351,3627
450313495,0
175956597,3368
115066618,3315
364048560,0
320414791,3046
122347738,3676
165822789,3156
1504694,0
111698427,0
131762881,3833
138328195,3456
120976675,3395
278882570,0
14606008,0
134745161,0
107447361,3226
168286788,3583
148807543,3467
88471710,3368
372237102,3458
100728964,0
46267139,3392
129213402,3690
388526567,0
102826065,3355
46145,3487
17495064,3442
449913376,0
391791495,0
411020343,3423
69285812,3875
395155575,0
101605459,0
3386787,3446
137745896,3287
86826608,4192
301884615,4032
44714216,4514
129159227,4141
274322592,0
417900428,0
135225684,3425
136493988,3593
400579123,3476
133633678,3473
287836092,3302
360456975,0
132553395,0
393167988,0
384145768,3575
119097699,2917
153155591,0
81084623,3324
68304692,3072
140740690,3544
259242431,3111
294088382,3123
141935080,2947
199121930,3857
93812290,3355
166948522,3265
106817674,3352
352850433,3432
229272845,3464
79821798,3512
90965046,3464
199504615,3301
115054566,3225
126244297,4050
169641504,0
151435749,0
40273505,0
125617483,3142
33653865,3258
84395652,0
105875522,0
169058354,3120
50997707,3688
91600975,3511
104943680,2939
176064489,0
100597018,0
38799943,0
518015,3060
56086553,3751
122679649,3408
172766379,2932
75376395,3070
182795408,3304
244098752,2979
691036,0
150030363,0
360030822,3536
178578552,3254
84603832,3676
106608197,0
14743630,0
31554329,0
417114723,3233
41382181,2991
150083780,3390
33740987,3233
259365665,3517
130621883,3091
116264484,0
87263148,3760
248310080,3103
804417308,0
48587327,3167
204170909,3276
127100834,0
119516631,0
407932876,0
370465834,3056
91684593,0
330186153,0
335609038,3158
308525157,3075
453110928,3169
189496358,2358
251960337,3009
174411210,3359
368775965,3155
97800403,3254
358089364,3450
186628025,3318
338238643,3958
147981408,0
439013984,0
246412832,3526
86148620,3617
423250023,3674
369712019,3101
367515911,3110
94176006,3191
68139025,3111
136089305,3275
230102979,2913
95193774,2941
74918140,0
97506441,0
81972012,3538
141384498,3019
344558311,3459
121416498,3651
96732343,3033
440351420,3321
116821034,0
85771742,3189
11295816,3201
112720234,3222
172374536,3033
243723217,3250
360324726,0
186176835,3515
150543515,3072
109342269,0
6409258,0
195916765,2552
13490281,3414
317777892,3128
233381182,3644
45241688,0
229035945,3087
135952396,3065
306031642,0
118303911,0
94055477,0
164632987,3404
137237943,3081
159171556,3080
105317319,3175
137953964,0
132756949,3273
80068593,3270
174204513,2977
79752324,0
303412537,0
199203448,3033
400974739,0
5977692,0
141996705,3293
130477287,3052
296565529,2823
175428467,3718
340294419,3069
346084332,3035
138409163,2745
206899718,3202
102130847,3070
124901084,0
186277408,0
402911020,3421
294620037,3469
113866942,3745
75983615,3562
341559140,3033
233264689,2968
399884754,0
80137225,0
102908703,0
390847573,3659
349003272,0
90651060,3871
140643428,0
423797317,0
340213062,598
12461272,2465
45138654,2404
123347145,3699
14324753,3831
50161162,3390
162001257,0
170338842,4116
303046712,0
277254290,0
203209776,2106
144134325,0
302852765,0
174854660,3053
133501487,3056
390470751,0
113234314,0
208744769,3336
119934237,3276
107512734,0
126039043,0
9654271,0
94323103,0
94450210,3251
126057850,3332
59995494,4074
144543305,4536
160766691,3437
150203081,4001
126696198,2634
51646001,3267
133937231,0
344011148,2955
219962042,3156
318956995,4274
90068970,0
119340898,2482
329712390,3011
211552773,3043
126558238,4123
170241688,0
111410008,0
345799592,2936
375473590,3138
117619017,2899
166747870,2628
321226480,0
330342225,0
164544758,0
114025686,2774
298505694,3313
293584242,3263
119468482,0
124623861,3136
105098532,3368
411276655,0
147410346,0
351814259,2874
317777864,3343
112167928,3611
181125660,2373
202918712,3213
332181274,0
62515349,0
343716579,3090
119969415,2609
234618605,3079
203770426,3061
124727531,3099
118325224,3775
124361627,3125
130727576,3033
93642180,2814
74400819,3295
332583620,3135
123572443,3013
139040983,0
109655876,3399
106379118,0
411263131,0
71325331,2924
208034163,3002
272654764,3081
64766868,2780
9004332,3049
456138668,2578
171222981,0
23229841,2861
178572459,3095
162534786,3209
153869911,0
280826956,0
128736699,3271
249171465,1993
158966775,0
300799063,0
127120951,0
124070941,0
442668594,2692
164321512,2442
118837094,2852
119171743,0
118357718,0
125222216,2877
67833106,3286
129972732,2434
213194994,2861
355058717,3014
206908744,0
